ID,Code,Address/Intersection/Area,Latitude,Longitude
343017,PFI10,MJ,44.0637139458843,-123.105508004413
343018,PFI10,Skinners Butte,44.0574094187892,-123.096694809775
343023,PFI10,Franklin,44.0447885291091,-123.057558484112
343122,PFI10,TS,44.0686432371397,-123.138874463227
343124,PFI10,TS,44.0687273169506,-123.138891126732
343125,PFI10,TS,44.0689088146827,-123.139125973635
343126,PFI10,TS,44.0691058586929,-123.139294814027
343127,PFI10,TS,44.0694448829033,-123.139594997780
343128,PFI10,Trainsong,44.0696077332569,-123.138031448479
343142,PFI10,WJ,44.0569159516407,-123.100546502121
343151,PFI10,WJ,44.0539054373795,-123.101543858935
343159,PFI10,WJ,44.0529665550157,-123.101722014875
343220,PFI10,AC,44.0466085613827,-123.133013813555
343236,PFI10,SB,44.0597606294436,-123.093218518143
343250,PFI10,East Bank,44.0887920205232,-123.117511837413
343254,PFI10,Washington/Clark,44.0597437608046,-123.100341171232
343256,PFI10,WJ,44.0566825492142,-123.101556021919
343293,PFI10,AC,44.0502774578079,-123.167883443524
343339,PFI10,Knickerbocker,44.0448085875843,-123.058339766764
343352,PFI10,SB,44.0600436726903,-123.093280870648
343406,PFI10,OE,44.0463312497930,-123.131563861530
343407,PFI10,OE,44.0463321597079,-123.131527698770
343408,PFI10,OE,44.0466444312377,-123.132928990667
343409,PFI10,OW,44.0472626684936,-123.137188329886
343410,PFI10,AC,44.0464673502843,-123.141701391988
343411,PFI10,WB,44.0846379583976,-123.118957543342
343412,PFI10,WB,44.0707108231435,-123.116625723184
343413,PFI10,MJ,44.0637766740859,-123.102454127223
343415,PFI10,AB,44.0516974178278,-123.066085443032
343431,PFI10,SB,44.0631023130332,-123.100061158000
343432,PFI10,SB,44.0584031822047,-123.085843605376
343433,PFI10,MJ,44.0635233877826,-123.101477962586
343439,PFI10,East of Richardson Bridge,44.0463787272667,-123.141271073598
343441,PFI10,East of Richardson Bridge,44.0464445169890,-123.141620622498
343442,PFI10,OW,44.0471064786233,-123.137666378545
343443,PFI10,Garfield,44.0426888492023,-123.119959399842
343444,PFI10,Grant,44.0423170693011,-123.122291767992
343719,PFI10,AC,44.0419642531986,-123.110954588376
343721,PFI10,AC,44.0420346151058,-123.111505117614
343730,PFI10,SB,44.0591978377667,-123.086883891227
