ID,Code,Address/Intersection/Area,Latitude,Longitude,"Date of cleanup, inspection or posting",Staff hours,# staff members,Pieces of equipment used,Items to storage?,Hazmat,Yards of debris,Images?
352750,PFI10,Garfield,44.0427389882827,-123.121467374935,Nov-20,0,1,0,No,,0,Yes
352778,SFS30,13th/Dani,44.0444882349993,-123.153212034388,Nov-20,2,1,1,No,,0,Yes
352782,PFI10,I-105 off ramp,44.0536053218000,-123.102191132266,Nov-20,0,1,0,No,,0,Yes
352783,PFI10,I-105 off ramp,44.0537052626156,-123.101962344983,Nov-20,0,1,0,No,,0,Yes
352799,PFI10,Garfield,44.0422668243390,-123.121095990035,Nov-20,0,1,0,No,,0,Yes
352836,SFS30,Broadway/Garfield,44.0499861385740,-123.124683359708,Nov-20,1,2,1,No,,0,No
352837,SFS30,245 Monroe St,44.0571386822706,-123.104985644122,Nov-20,2,2,1,No,,0,Yes
352851,SFS30,1st/Cap Ct,44.0587010065327,-123.150970801270,Nov-20,0.5,1,1,No,Called NW Hazmat,0,No
352854,SFS30,1177 Pearl St,44.0468731790502,-123.089411371981,Nov-20,1,1,1,No,,0,No
352930,SFS30,Wallis,44.0542869291448,-123.153943897789,Nov-20,2,2,1,No,,0,No
352956,PFI10,Garfield,44.0427311366267,-123.121153216546,Nov-20,0,1,0,No,,0,Yes
352960,PFI10,Garfield,44.0427356614328,-123.119688556913,Nov-20,0,1,0,No,,0,Yes
352970,PFI10,Garfield,44.0423074711670,-123.119794185137,Nov-20,0,1,0,No,,0,Yes
352975,PFI10,Riverfront,44.0526148590394,-123.082710131667,Nov-20,0,1,0,No,,0,Yes
352976,SFS30,195 Cap Ct,44.0582262048106,-123.150884525483,Nov-20,0.5,1,0,No,Called NW Hazmat,0,Yes
352983,PFI10,AB,44.0516732324213,-123.066132729794,Nov-20,0,1,0,No,,0,Yes
352987,PFI10,Westmoreland,44.0392880473876,-123.116000716194,Nov-20,0,1,0,No,,0,Yes
352990,PFI10,SB,44.0598868498526,-123.093203087802,Nov-20,0.25,1,0,No,,0,Yes
352997,PFI10,AB,44.0522625554663,-123.064620433022,Nov-20,0,1,0,No,,0,Yes
353000,PFI10,Westmoreland,44.0405139681073,-123.115768723385,Nov-20,0,1,0,No,,0,Yes
353001,PFI10,Westmoreland,44.0413385366231,-123.115985809110,Nov-20,0,1,0,No,,0,Yes
353004,PFI10,WJ,44.0549988492901,-123.100886554723,Nov-20,0.25,1,0,No,,0,Yes
353008,PFI10,WJ,44.0540009620493,-123.101303143303,Nov-20,0,1,0,No,,0,Yes
